smile_A_ion,smile_B_ion,mol_fraction_A,mol_fraction_B,beta,kind_surfactant 1,kind_surfactant 2
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.1,0.9,-19.02753924,ANIONIC,CATIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.2,0.8,-18.2945808,ANIONIC,CATIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.3,0.7,-18.8876592,ANIONIC,CATIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.4,0.6,-20.47453464,ANIONIC,CATIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.5,0.5,-20.72727258,ANIONIC,CATIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.6,0.4,-19.05582798,ANIONIC,CATIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.7,0.3,-18.94614955,ANIONIC,CATIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.8,0.2,-19.18955954,ANIONIC,CATIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.9,0.1,-19.97821643,ANIONIC,CATIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8,0.2,-0.133911358,ANIONIC,ANIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.65,0.35,-0.277790331,ANIONIC,ANIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.5,0.5,-0.214139769,ANIONIC,ANIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.4,0.6,-0.162472624,ANIONIC,ANIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.29,0.71,0.021708708,ANIONIC,ANIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.15,0.85,0.270861352,ANIONIC,ANIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCS(=O)C,0.2,0.8,-3.409061224,ANIONIC,NONIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCS(=O)C,0.4,0.6,-2.389682404,ANIONIC,NONIONIC
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCS(=O)C,0.7,0.3,-1.878122109,ANIONIC,NONIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCC[N+](C)(C)C.[Br-],0.03,0.97,-9.036315077,ANIONIC,CATIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCC[N+](C)(C)C.[Br-],0.08,0.92,-9.335722936,ANIONIC,CATIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCC[N+](C)(C)C.[Br-],0.16,0.84,-9.06434982,ANIONIC,CATIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCC[N+](C)(C)C.[Br-],0.28,0.72,-8.336017147,ANIONIC,CATIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCC[N+](C)(C)C.[Br-],0.48,0.52,-8.145911021,ANIONIC,CATIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCC[N+](C)(C)C.[Br-],0.7,0.3,-8.417062446,ANIONIC,CATIONIC
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCC[N+](C)(C)C.[Br-],0.8,0.2,-8.456283941,ANIONIC,CATIONIC
